striker,bowler,runs_scored,balls_faced,dismissals,strike_rate,average
A Balbirnie,Mohammad Naveed,38,33,4,115.15151515151516,9.5
A Balbirnie,Mohammad Tauqir,9,12,0,75.0,
A Balbirnie,Mosaddek Hossain,2,6,0,33.33333333333333,
A Balbirnie,Mrittunjoy Chowdhury,10,21,0,47.61904761904761,
A Balbirnie,Muhammad Jawadullah,7,8,0,87.5,
A Balbirnie,Mujeeb Ur Rahman,80,123,7,65.04065040650406,11.428571428571429
A Balbirnie,Mustafizur Rahman,21,20,0,105.0,
A Balbirnie,NK Patel,8,17,0,47.05882352941176,
A Balbirnie,NP Kenjige,11,11,0,100.0,
A Balbirnie,Naveen-ul-Haq,17,20,1,85.0,17.0
A Balbirnie,O Thomas,14,15,0,93.33333333333333,
A Balbirnie,OF Smith,8,12,0,66.66666666666666,
